seed,agent_count,update,risk_cycle_label,episodes,train_realized_cost,train_effective_cost,train_decisions,loss,policy_loss,value_loss,entropy,eval_realized_cost_mean,eval_realized_cost_std,eval_effective_cost_mean,eval_effective_cost_std,ce_mean_positive_regret,ce_max_agent_regret,ce_ucb95,ce_stability_band,epsilon_ce_ex_post,num_eval_decisions,risk_alpha_0p00_ce_mean_positive_regret,risk_alpha_0p00_ce_ucb95,risk_alpha_0p00_ce_max_agent_regret,risk_alpha_0p00_num_eval_decisions,risk_alpha_0p00_eval_realized_cost_mean,risk_alpha_0p00_eval_effective_cost_mean,risk_alpha_0p20_ce_mean_positive_regret,risk_alpha_0p20_ce_ucb95,risk_alpha_0p20_ce_max_agent_regret,risk_alpha_0p20_num_eval_decisions,risk_alpha_0p20_eval_realized_cost_mean,risk_alpha_0p20_eval_effective_cost_mean,risk_alpha_0p60_ce_mean_positive_regret,risk_alpha_0p60_ce_ucb95,risk_alpha_0p60_ce_max_agent_regret,risk_alpha_0p60_num_eval_decisions,risk_alpha_0p60_eval_realized_cost_mean,risk_alpha_0p60_eval_effective_cost_mean,risk_alpha_1p00_ce_mean_positive_regret,risk_alpha_1p00_ce_ucb95,risk_alpha_1p00_ce_max_agent_regret,risk_alpha_1p00_num_eval_decisions,risk_alpha_1p00_eval_realized_cost_mean,risk_alpha_1p00_eval_effective_cost_mean,mode,graph_size,topology,widths,num_nodes,num_edges,seed_label,agent_count_label,teacher_regret_updates,teacher_positive_regret_mass,teacher_max_positive_increment,deep_regret_loss,deep_regret_buffer_size,deep_strategy_loss,deep_strategy_buffer_size,deep_teacher_regret_trained,deep_teacher_strategy_trained,teacher_confidence_mean,distill_loss,distill_active_fraction,shared_teacher_snapshot,teacher_training_active,teacher_best_ce_ucb95,teacher_best_snapshot_update,teacher_freeze_update,teacher_freeze_reason_code,teacher_behavior_beta_base,teacher_behavior_beta_floor,teacher_behavior_beta_mean,teacher_beta_floor_applied_fraction,teacher_mix_active_fraction,teacher_confidence_std,teacher_student_js_mean,branching_fraction,distill_gate_mean,distill_gate_active_fraction,distill_branching_active_fraction,teacher_cf_advantage_mean,teacher_cf_advantage_positive_fraction,teacher_eval_realized_cost_mean,teacher_eval_effective_cost_mean,teacher_eval_ce_mean_positive_regret,teacher_eval_ce_ucb95,teacher_eval_confidence_mean,teacher_eval_risk_alpha_0p00_ce_mean_positive_regret,teacher_eval_risk_alpha_0p00_ce_ucb95,teacher_eval_risk_alpha_0p00_ce_max_agent_regret,teacher_eval_risk_alpha_0p00_num_eval_decisions,teacher_eval_risk_alpha_0p00_eval_realized_cost_mean,teacher_eval_risk_alpha_0p00_eval_effective_cost_mean,teacher_eval_risk_alpha_0p20_ce_mean_positive_regret,teacher_eval_risk_alpha_0p20_ce_ucb95,teacher_eval_risk_alpha_0p20_ce_max_agent_regret,teacher_eval_risk_alpha_0p20_num_eval_decisions,teacher_eval_risk_alpha_0p20_eval_realized_cost_mean,teacher_eval_risk_alpha_0p20_eval_effective_cost_mean,teacher_eval_risk_alpha_0p60_ce_mean_positive_regret,teacher_eval_risk_alpha_0p60_ce_ucb95,teacher_eval_risk_alpha_0p60_ce_max_agent_regret,teacher_eval_risk_alpha_0p60_num_eval_decisions,teacher_eval_risk_alpha_0p60_eval_realized_cost_mean,teacher_eval_risk_alpha_0p60_eval_effective_cost_mean,teacher_eval_risk_alpha_1p00_ce_mean_positive_regret,teacher_eval_risk_alpha_1p00_ce_ucb95,teacher_eval_risk_alpha_1p00_ce_max_agent_regret,teacher_eval_risk_alpha_1p00_num_eval_decisions,teacher_eval_risk_alpha_1p00_eval_realized_cost_mean,teacher_eval_risk_alpha_1p00_eval_effective_cost_mean,teacher_snapshot_shared,guided_step,guided_total,distill_lambda_current,hybrid_use_distill,hybrid_stage
42.0,5.0,1.0,0.00|0.20|0.60|1.00,1.0,41.99880906835567,46.978834975000005,20.0,17.253716468811035,-0.0012859806389311501,34.52161645889282,0.5805282294750214,47.661342746120575,1.8392648480627243,48.492802175,1.1828140865587993,0.005447956241379175,0.008886387667928047,0.008076563655652878,0.0392690974785797,0.0,64.0,0.006533965366020131,0.011433637911808885,0.008886387667928047,25.0,18.050087600131548,19.039666666666665,0.0021878591593014495,0.004791882755073684,0.0021878591593014495,13.0,9.637790726513321,9.298015975,0.003288536290488281,0.008201728739293231,0.003288536290488281,12.0,9.4813294270738,9.226670324999999,0.008386818624356116,0.014970002349508625,0.008386818624356116,14.0,10.492134992401907,10.928449208333333,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,500.0,0.00|0.20|0.60|1.00,1.0,50.53809977667988,53.258970975000004,20.0,0.4394276961684227,0.0001910217120895119,0.8887635618448257,0.5145091563463211,55.204841827190876,7.884452688023069,55.55843469166666,8.401336592763807,0.014191976744990271,0.016499829082798276,0.019946923627887306,0.07783100749053201,0.0,67.0,0.012959215895354283,0.021366440588358966,0.013699378801530144,27.0,22.51324485923135,22.03583333333333,0.016499829082798276,0.030535974463920285,0.016499829082798276,13.0,10.951385904545214,10.828241308333332,0.016348291744169442,0.03074216950609507,0.016348291744169442,13.0,10.477977971035992,10.614606883333336,0.01242414585637158,0.0258808376993089,0.01242414585637158,14.0,11.262233092378317,12.079753166666668,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,1000.0,0.00|0.20|0.60|1.00,1.0,61.25616481956324,58.68239882499999,24.0,1.808207482099533,-0.001581703011955593,3.629324495792389,0.48730412125587463,50.00128557385071,5.010669048258263,49.19952163333334,3.032766038495531,0.006401325263502089,0.010074485525996235,0.009440343893178178,0.04399513765652691,0.0,63.0,0.0062562196201776926,0.011005770212024701,0.006966305976584548,26.0,20.636900516659338,19.661,0.003229491634213819,0.008978892091161482,0.003229491634213819,13.0,9.378380130515152,9.5110221,0.006478713659939767,0.013657128523379407,0.006478713659939767,12.0,10.469331076080913,9.951228991666666,0.010074485525996235,0.018016589004714235,0.010074485525996235,12.0,9.516673850595291,10.076270541666668,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,1500.0,0.00|0.20|0.60|1.00,1.0,46.446402814065934,45.169131775,21.0,0.8052030950784683,-0.00038666756500660426,1.6209218502044678,0.4871162250638008,46.93194730345058,1.5757288030543952,49.47383550833333,0.39085114624273043,0.007501827903881928,0.010199797197381196,0.010608798341659113,0.04399513765652691,0.0,62.0,0.005478769486289365,0.010164713194012106,0.006594974248317266,25.0,18.482465582095415,18.779,0.007294322437111012,0.013245002199602158,0.007294322437111012,13.0,9.233697450246398,10.077015975,0.00924336123603566,0.017565472204002848,0.00924336123603566,12.0,9.320502390393107,9.997895658333332,0.010199797197381196,0.017885463117226576,0.010199797197381196,12.0,9.895281880715656,10.619923875,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,2000.0,0.00|0.20|0.60|1.00,1.0,49.09987293280048,50.537174875,22.0,0.9312230348587036,-5.785040147365805e-06,1.8699020445346832,0.372219517827034,47.622822456185894,1.1965752449966962,49.04428564166667,0.9641621753239096,0.008909708528006134,0.01240638535646476,0.012029650276512198,0.042493116159972075,0.0,60.0,0.009573811693811279,0.014743284302355773,0.011836582445676919,24.0,19.142610200439403,19.516999999999996,0.006319288571270346,0.01212927224547021,0.006319288571270346,12.0,9.46011584586497,9.531890108333334,0.01240638535646476,0.019893056551275233,0.01240638535646476,12.0,10.107053428178931,10.128611658333334,0.0066752453246730105,0.013804423750642716,0.0066752453246730105,12.0,8.913042981702592,9.866783875000001,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,2500.0,0.00|0.20|0.60|1.00,1.0,43.34534360752848,45.522779775,21.0,0.25126684457063675,0.00011635252442276922,0.5097249150276184,0.3711969032883644,42.56355822849333,3.3350802226643883,45.02105630833333,0.7247542686051156,0.0013994431818728627,0.002772681844398403,0.0025431806282473664,0.024592250813959736,0.0,61.0,0.0006599270648479029,0.0015452466967775585,0.000694584692819515,25.0,16.893256334990753,18.097666666666665,0.0021571509145554613,0.006160211267623998,0.0021571509145554613,12.0,8.560126327822376,8.899128775,0.0008091553638000557,0.0017219538111774716,0.0008091553638000557,12.0,8.36443902029859,9.086836991666665,0.002772681844398403,0.006576886200071427,0.002772681844398403,12.0,8.745736545381611,8.937423875,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,3000.0,0.00|0.20|0.60|1.00,1.0,49.040324408576424,49.260754975,20.0,0.04930006433278322,-0.010079085058532833,0.12362853065133095,0.2435115911066532,47.60347050397545,0.9797790260712543,48.63456084166666,1.3467127775038206,0.004020710392913608,0.005503186258901032,0.006283639219063563,0.036483999037713793,0.0,63.0,0.003592451519880165,0.006838862546106486,0.004858237106001697,26.0,19.460582533102322,19.437666666666665,0.005503186258901032,0.01049208797249894,0.005503186258901032,13.0,10.253250080509078,10.135754641666667,0.003444910935042844,0.009371539174389876,0.003444910935042844,12.0,9.072020417722443,9.460895658333333,0.0039183885542037914,0.009749678374214421,0.0039183885542037914,12.0,8.81761747264162,9.600243875,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,3500.0,0.00|0.20|0.60|1.00,1.0,50.383325214647954,48.607970975,22.0,0.14378352463245392,-0.0009954781615473252,0.29324131458997726,0.1841656155884266,51.679758995112046,4.214225978404026,51.97947356666666,4.634210594469288,0.004650724944096036,0.006285250065578453,0.007175137166328362,0.033683777268278425,0.0,65.0,0.003979127534439484,0.007585080412080536,0.005268047582970546,26.0,19.298629315875825,19.414666666666665,0.006285250065578453,0.012843583372369127,0.006285250065578453,13.0,10.4981761300998,10.765094099999999,0.00467432473969232,0.010876809044189051,0.00467432473969232,13.0,10.795884300097137,10.583615633333332,0.0043357948463304385,0.010089074941211593,0.0043357948463304385,13.0,11.087069249039281,11.216097166666666,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,4000.0,0.00|0.20|0.60|1.00,1.0,48.47736843268493,44.883970975,21.0,0.075356749817729,-0.0030476248496036362,0.16023923084139824,0.171523816883564,48.1470355210998,6.322943855621498,48.67408185833333,4.7463930277564845,0.004016056641373302,0.00804142896944657,0.006420140322673835,0.033683777268278425,0.0,63.0,0.006147432564799537,0.010793363605590644,0.00804142896944657,24.0,17.15470534137025,17.691000000000003,0.003608262272475479,0.008564424623178262,0.003608262272475479,13.0,10.602580114009836,10.120427433333333,0.00233716236984616,0.006918000614744633,0.00233716236984616,13.0,9.77948638925213,10.020723925,0.0021678974231652192,0.006416976372569048,0.0021678974231652192,13.0,10.61026367646758,10.841930499999998,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,5.0,4500.0,0.00|0.20|0.60|1.00,1.0,45.84842452397805,47.7238069,22.0,0.385032519698143,-0.00017985329468084288,0.7722981125116348,0.09366887621581554,45.70380901157758,1.2848665594621753,46.75563764166666,0.4099491838427475,0.0007407077035024003,0.0016656812934862965,0.0013127274251397395,0.011428424430308762,0.0,62.0,0.0015334843654318286,0.0027691890040086866,0.0016656812934862965,26.0,18.493073515731748,18.64166666666667,0.0005044403429934401,0.0014931434152605826,0.0005044403429934401,12.0,8.132593269402092,8.735556775,0.0,0.0,0.0,12.0,9.818566547083055,9.685670325,0.0,0.0,0.0,12.0,9.259575679360681,9.692743875,ppo,small,main_path,"3,3,3",11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
