seed,seed_label,agent_count,agent_count_label,update,risk_cycle_label,episodes,train_realized_cost,train_effective_cost,train_decisions,teacher_regret_updates,teacher_positive_regret_mass,teacher_max_positive_increment,deep_regret_loss,deep_regret_buffer_size,deep_strategy_loss,deep_strategy_buffer_size,deep_teacher_regret_trained,deep_teacher_strategy_trained,eval_realized_cost_mean,eval_realized_cost_std,eval_effective_cost_mean,eval_effective_cost_std,ce_mean_positive_regret,ce_max_agent_regret,ce_ucb95,ce_stability_band,epsilon_ce_ex_post,num_eval_decisions,teacher_confidence_mean,risk_alpha_0p00_ce_mean_positive_regret,risk_alpha_0p00_ce_ucb95,risk_alpha_0p00_ce_max_agent_regret,risk_alpha_0p00_num_eval_decisions,risk_alpha_0p00_eval_realized_cost_mean,risk_alpha_0p00_eval_effective_cost_mean,risk_alpha_0p20_ce_mean_positive_regret,risk_alpha_0p20_ce_ucb95,risk_alpha_0p20_ce_max_agent_regret,risk_alpha_0p20_num_eval_decisions,risk_alpha_0p20_eval_realized_cost_mean,risk_alpha_0p20_eval_effective_cost_mean,risk_alpha_0p60_ce_mean_positive_regret,risk_alpha_0p60_ce_ucb95,risk_alpha_0p60_ce_max_agent_regret,risk_alpha_0p60_num_eval_decisions,risk_alpha_0p60_eval_realized_cost_mean,risk_alpha_0p60_eval_effective_cost_mean,risk_alpha_1p00_ce_mean_positive_regret,risk_alpha_1p00_ce_ucb95,risk_alpha_1p00_ce_max_agent_regret,risk_alpha_1p00_num_eval_decisions,risk_alpha_1p00_eval_realized_cost_mean,risk_alpha_1p00_eval_effective_cost_mean,loss,policy_loss,value_loss,entropy,distill_loss,distill_active_fraction,shared_teacher_snapshot,teacher_training_active,teacher_best_ce_ucb95,teacher_best_snapshot_update,teacher_freeze_update,teacher_freeze_reason_code,mode,graph_size,topology,widths,num_nodes,num_edges,teacher_behavior_beta_base,teacher_behavior_beta_floor,teacher_behavior_beta_mean,teacher_beta_floor_applied_fraction,teacher_mix_active_fraction,teacher_confidence_std,teacher_student_js_mean,branching_fraction,distill_gate_mean,distill_gate_active_fraction,distill_branching_active_fraction,teacher_cf_advantage_mean,teacher_cf_advantage_positive_fraction,teacher_eval_realized_cost_mean,teacher_eval_effective_cost_mean,teacher_eval_ce_mean_positive_regret,teacher_eval_ce_ucb95,teacher_eval_confidence_mean,teacher_eval_risk_alpha_0p00_ce_mean_positive_regret,teacher_eval_risk_alpha_0p00_ce_ucb95,teacher_eval_risk_alpha_0p00_ce_max_agent_regret,teacher_eval_risk_alpha_0p00_num_eval_decisions,teacher_eval_risk_alpha_0p00_eval_realized_cost_mean,teacher_eval_risk_alpha_0p00_eval_effective_cost_mean,teacher_eval_risk_alpha_0p20_ce_mean_positive_regret,teacher_eval_risk_alpha_0p20_ce_ucb95,teacher_eval_risk_alpha_0p20_ce_max_agent_regret,teacher_eval_risk_alpha_0p20_num_eval_decisions,teacher_eval_risk_alpha_0p20_eval_realized_cost_mean,teacher_eval_risk_alpha_0p20_eval_effective_cost_mean,teacher_eval_risk_alpha_0p60_ce_mean_positive_regret,teacher_eval_risk_alpha_0p60_ce_ucb95,teacher_eval_risk_alpha_0p60_ce_max_agent_regret,teacher_eval_risk_alpha_0p60_num_eval_decisions,teacher_eval_risk_alpha_0p60_eval_realized_cost_mean,teacher_eval_risk_alpha_0p60_eval_effective_cost_mean,teacher_eval_risk_alpha_1p00_ce_mean_positive_regret,teacher_eval_risk_alpha_1p00_ce_ucb95,teacher_eval_risk_alpha_1p00_ce_max_agent_regret,teacher_eval_risk_alpha_1p00_num_eval_decisions,teacher_eval_risk_alpha_1p00_eval_realized_cost_mean,teacher_eval_risk_alpha_1p00_eval_effective_cost_mean,teacher_snapshot_shared,guided_step,guided_total,distill_lambda_current,hybrid_use_distill,hybrid_stage
42.0,seed_42,5.0,N_5,5000.0,0.00|0.20|0.60|1.00,1.0,48.4804290538992,49.703153675,20.0,50.0,4.8009962929760155,0.5174918520000005,0.11326112598180771,50000.0,0.5076557866164616,50000.0,1.0,1.0,43.563303300025346,3.64733406901804,45.841813900000005,3.0421797582533507,0.003157370358102241,0.00531679520019063,0.00478421462711087,0.022942776863852897,0.0,62.0,0.2734108789700867,0.004439040647140977,0.007502462136795059,0.00531679520019063,25.0,18.021409182459717,19.098833333333335,0.002714362508602535,0.006137035182534136,0.002714362508602535,13.0,9.58198459634149,9.7794277,0.0031975012995939162,0.007045220593510523,0.0031975012995939162,12.0,8.030452082207121,8.511821325,0.0009270181514045508,0.002158220299030576,0.0009270181514045508,12.0,7.929457439017015,8.451731541666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.005937046184092956,2500.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,seed_123,5.0,N_5,5000.0,0.00|0.20|0.60|1.00,1.0,47.496042230045454,48.126013375,20.0,50.0,5.633246224091882,1.080529622666666,0.11767856180667877,50000.0,0.564938655921391,50000.0,1.0,1.0,43.25243026032914,2.4898811738506104,46.601844075,1.2199470955171015,0.004182671442008035,0.006122370230522543,0.005946181036592876,0.024304357631919838,0.0,60.0,0.2880527768408425,0.006025701226882713,0.009570078336889583,0.006122370230522543,24.0,18.449353124344128,19.543000000000003,0.004157989482358698,0.008054967502508923,0.004157989482358698,12.0,8.568658260537019,9.215004175000002,0.0020807874141468455,0.004810939589431065,0.0020807874141468455,12.0,8.046725751899922,8.999179191666666,0.0026231778597692046,0.004484338039732987,0.0026231778597692046,12.0,8.187693123548076,8.844660708333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.007085308456733085,5000.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,seed_256,5.0,N_5,5000.0,0.00|0.20|0.60|1.00,1.0,43.75881626382371,45.419540575,20.0,50.0,7.251709163434665,0.5896922157057194,0.12194744795560837,50000.0,0.5781462447983878,50000.0,1.0,1.0,49.99594540271918,6.435192575760199,48.37083650833333,3.7664255896786027,0.005879486405102359,0.010034625673495407,0.008622663698582377,0.041245441552993985,0.0,64.0,0.23882788304031285,0.00354913341934803,0.0069503700528637125,0.005260021340910095,28.0,22.29671208372072,20.668000000000003,0.009660962022892704,0.017512329597020114,0.009660962022892704,12.0,9.607969920690586,9.283298808333335,0.0033803618190124036,0.00798554637319551,0.0033803618190124036,12.0,8.350372879866047,8.863195658333334,0.010034625673495407,0.01797931220042488,0.010034625673495407,12.0,9.740890518441825,9.556342041666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.010817938557954463,5000.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,seed_42,20.0,N_20,5000.0,0.00|0.20|0.60|1.00,1.0,305.9479444980155,310.16640487499996,84.0,204.0,56.73758211658741,2.426882654360094,1.0684897422790527,50000.0,0.8188854030200413,50000.0,1.0,1.0,269.54913783977435,14.152796656794218,280.57109376666665,9.853344793549898,0.00697513458831029,0.010203265252777776,0.00828914905218915,0.028407136925751555,0.0,245.0,0.06328244290875973,0.006607580474776478,0.0091758278811497,0.007986413013889972,61.0,68.5541730954556,68.67016666666667,0.006451853129225043,0.009078620456445781,0.00808156285191252,63.0,67.89862384125958,69.892150075,0.008250200453229344,0.011112749136620428,0.010203265252777776,61.0,67.0839075120578,70.74870415,0.006601943173108139,0.009073501114591709,0.009232802203319766,60.0,66.01243339100132,71.260072875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.007526816221756904,2500.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,seed_123,20.0,N_20,5000.0,0.00|0.20|0.60|1.00,1.0,285.79207835421846,299.007207375,80.0,200.0,57.89460942783379,1.5905972092574778,0.9435774981975555,50000.0,0.7988950950758797,50000.0,1.0,1.0,279.0844488166263,15.175945009994388,279.4198262333333,16.819467370235554,0.004783070271511682,0.009491251257481416,0.0057222273411721486,0.03474607149337264,0.0,254.0,0.07157594560696229,0.004397442419986755,0.0064828309183316375,0.005993868610048081,66.0,69.80366366179976,68.5355,0.004310395132115808,0.005856997052653538,0.005438263387452,64.0,69.08627200976498,67.53153518333333,0.004982219529329682,0.006780037635943239,0.007205168282760663,61.0,71.35723377760463,69.60496271666666,0.005474412214290773,0.0075192150626075035,0.009491251257481416,63.0,68.83727936745689,73.74782833333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.006829407546028513,4000.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,seed_256,20.0,N_20,5000.0,0.00|0.20|0.60|1.00,1.0,255.68908446779938,270.15786257499997,82.0,206.0,29.088389615262727,1.374160392060145,0.6168415188789368,50000.0,0.6931153280394418,50000.0,1.0,1.0,295.8067930197663,18.086845757099752,294.8652275333333,12.161927689098048,0.006464117948037204,0.01055881645163429,0.00755012957414403,0.0335507517020709,0.0,253.0,0.1478169016393046,0.007592792290917459,0.009873705955199005,0.009788241594348346,64.0,80.24936223018985,77.777,0.007684518361497996,0.009958666659608425,0.01055881645163429,64.0,76.73732628763759,73.92078655833332,0.005259105021231405,0.007298303959625161,0.006705584465300836,63.0,70.51615734710678,72.12841951666665,0.005263715205826534,0.007304382084925976,0.007677757042092146,62.0,68.30394715483207,71.03902145833332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.006061891796825796,5000.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,seed_42,50.0,N_50,5000.0,0.00|0.20|0.60|1.00,1.0,1268.2835581448708,1301.082826475,201.0,503.0,469.5617774897227,5.946113961943005,2.1556652307510378,50000.0,0.817539632320404,50000.0,1.0,1.0,1263.411648963043,67.94997069650842,1289.7398719583332,76.0221950441508,0.005527168484780602,0.008805127913304027,0.006099080812798859,0.021903202004840562,0.0,633.0,0.03601615214116792,0.005469188158799648,0.006578556437084341,0.008133805953162473,165.0,326.70581016955356,325.83199999999994,0.00503890692305658,0.006097596892860977,0.006821875399760351,164.0,327.6068131118377,328.43706152499993,0.005656336889448033,0.00682188364473175,0.008018418792246308,151.0,295.4488725710989,306.4616118083333,0.005985581692655209,0.007238917560853757,0.008805127913304027,153.0,313.650153110553,329.0091986249999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0064626106841683155,1500.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,seed_123,50.0,N_50,5000.0,0.00|0.20|0.60|1.00,1.0,1363.3299769959347,1398.9289040499998,208.0,508.0,524.4817463028219,6.60954249946094,2.2488157510757447,50000.0,0.7741600445338658,50000.0,1.0,1.0,1247.483291450065,79.61210869683246,1280.9744345000001,94.04602137420923,0.007292322731374776,0.012063699200882488,0.008127659772477461,0.02018816822978694,0.0,609.0,0.046343751525785376,0.00613790792033064,0.00763669183844879,0.01117038102453745,157.0,327.91937305475784,326.2071666666666,0.007118310183688181,0.008739611959632082,0.010983496609665648,159.0,324.0244603904326,331.71749299166675,0.008129280743558728,0.009877318116592024,0.012063699200882488,147.0,301.8777072696975,316.97608288333333,0.007880530215108046,0.009703150188773274,0.011626912217574463,146.0,293.6617507351771,306.0736919583334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.005482556323451445,3500.0,5000.0,0.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,seed_256,50.0,N_50,4500.0,0.00|0.20|0.60|1.00,1.0,1776.1945209196126,1805.6802327750001,208.0,524.0,1369.2224360793577,15.234223342370921,2.3901475191116335,50000.0,0.7869026490620205,50000.0,1.0,1.0,1280.713693214541,28.12910309312935,1304.8606112833331,25.178080334720185,0.006626972474743174,0.010622001740068623,0.0074967749929102144,0.020528667834470906,0.0,619.0,0.024990429553504508,0.005675214015649108,0.007225901348596587,0.009820473924720243,162.0,313.52537520072286,311.18183333333326,0.007478835936563601,0.009221566327985778,0.010418441018463847,160.0,336.9571984133981,342.61782994166674,0.0067103263691351105,0.00845546025877173,0.010622001740068623,149.0,325.62835507334165,330.59738700833344,0.0066639115708078435,0.008596533126220239,0.009283483801298077,148.0,304.60276452707825,320.463561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0051661658662093815,1000.0,4500.0,1.0,deepcfr,large,main_path,"5,5,5",17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,seed_42,5.0,N_5,5000.0,0.00|0.20|0.60|1.00,1.0,47.087609361640176,49.65231407500001,22.0,,,,,,,,,,45.115417089668796,5.810679252950745,47.54847564166667,3.3665998093307565,0.005169081856001162,0.006599931633119311,0.007318062908578507,0.0317342642128744,0.0,65.0,0.363532785935924,0.005357770127659365,0.00857484898931802,0.006599931633119311,27.0,19.326979944384377,19.985166666666668,0.0047301174617007495,0.009772248280755251,0.0047301174617007495,13.0,8.296334717034064,9.209594366666666,0.00464532767401589,0.00949704711928371,0.00464532767401589,13.0,9.262791897996179,9.3340099,0.005787478369079696,0.011470522508611587,0.005787478369079696,12.0,8.229310530254176,9.019704708333334,0.525997132062912,0.0017782341376664235,1.0551204979419708,0.3341352865099907,0.0,0.0,,0.0,0.005937046184092956,2500.0,5000.0,,deepcfr_rl_distill,large,main_path,"5,5,5",17,38,0.0,0.03,0.0,0.0,0.0,0.32800015027601903,0.09982236852348042,0.7727272727272727,0.27492676027262386,0.45454545454545453,0.45454545454545453,0.004016310632662849,0.45454545454545453,48.121192530895364,48.97590055,0.007301430930326357,0.009896371402800624,0.2741401651820681,0.004105449043469307,0.0068738038332604055,0.004986893044911845,27.0,19.22858649406417,19.101,0.010080474298640773,0.016325290934880984,0.010080474298640773,14.0,10.95524527296545,10.85082875,0.008947516849429711,0.01616385299618357,0.008947516849429711,12.0,9.296408684352107,9.461896424999999,0.009604086993617887,0.016790226996062203,0.009604086993617887,12.0,8.640952079513644,9.562175375,1.0,5000.0,5000.0,0.0,1.0,ppo_finetune
