graph_size,mode,agent_count,num_seeds,final_update,ce_mean_positive_regret_mean,ce_mean_positive_regret_std,ce_mean_positive_regret_stderr,ce_mean_positive_regret_ci95,ce_mean_positive_regret_ci95_low,ce_mean_positive_regret_ci95_high,ce_ucb95_mean,eval_realized_cost_mean,eval_realized_cost_std,eval_realized_cost_stderr,eval_realized_cost_ci95,eval_realized_cost_ci95_low,eval_realized_cost_ci95_high,fraction_ex_post_epsilon_ce,widths,num_nodes,num_edges,topology
large,deepcfr,5,3,5000,0.0044065094017375454,0.0013747932635475742,0.0007937372607892761,0.0015557250311469813,0.002850784370590564,0.005962234432884527,0.006451019787428708,45.60389298769122,3.8068036229844027,2.1978590964820874,4.307803829104891,41.29608915858633,49.91169681679611,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,5,3,5000,0.006218490014917409,0.0018378245444738474,0.0010610684954752772,0.0020796942511315435,0.004138795763785865,0.008298184266048952,0.008663740359476787,45.26265647095227,0.9630342690146235,0.5560080944544274,1.0897758651306777,44.1728806058216,46.35243233608295,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,5,3,5000,0.006733044409019544,0.002033051655491192,0.001173782920574254,0.0023006145243255377,0.0044324298846940054,0.009033658933345082,0.00963434023151133,48.107034024100905,0.4397258674158792,0.2538758479221996,0.4975966619275112,47.609437362173395,48.604630686028415,0.0,"5,5,5",17,38,main_path
large,ppo,5,3,5000,0.005941009340921254,0.0015004630584692078,0.0008662927507162864,0.0016979337914039213,0.0042430755495173325,0.007638943132325175,0.008464627883968243,45.74822198528341,3.4069183673434194,1.9669852364928035,3.855291063525895,41.89293092175751,49.603513048809305,0.0,"5,5,5",17,38,main_path
large,deepcfr,20,3,5000,0.0060741076026197246,0.0011468947398933058,0.000662159986809566,0.0012978335741467492,0.004776274028472975,0.007371941176766474,0.007187168655835109,281.4801265587223,13.291748108161705,7.67399434824786,15.041028922565806,266.4390976361565,296.52115548128813,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,20,3,5000,0.009382169185438513,0.0017292554894303457,0.0009983861223202483,0.0019568367997476865,0.007425332385690826,0.0113390059851862,0.01092444232715647,291.49708964385894,9.673443892993848,5.58496543561074,10.94653225379705,280.5505573900619,302.443621897656,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,20,3,5000,0.007541656126307462,0.00012859367089093017,7.424359050496067e-05,0.00014551743738972292,0.007396138688917739,0.007687173563697185,0.00890854793696609,288.07058576219583,3.8775823940272676,2.2387232389965965,4.387897548433329,283.6826882137625,292.45848331062916,0.0,"5,5,5",17,38,main_path
large,ppo,20,3,5000,0.00865916492890702,0.0019166049782407917,0.001106552400117498,0.002168842704230296,0.006490322224676723,0.010828007633137316,0.01003643723083223,283.653874584007,11.00788538742853,6.35540559164041,12.456594959615202,271.1972796243918,296.1104695436222,0.0,"5,5,5",17,38,main_path
large,deepcfr,50,3,5000,0.00648215456363285,0.0008914435198604171,0.0005146751561587593,0.0010087633060711684,0.005473391257561681,0.007490917869704019,0.007241171859395512,1263.8695445425499,16.619932359321496,9.595522421567638,18.807223946272572,1245.0623205962772,1282.6767684888225,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_distill,50,3,5000,0.005809818657884858,0.0011034854570156107,0.0006370976256548001,0.0012487113462834082,0.0045611073116014495,0.007058530004168267,0.006504243455824794,1145.7139453452717,44.4801372236924,25.6806191996903,50.33401363139299,1095.3799317138787,1196.0479589766646,0.0,"5,5,5",17,38,main_path
large,deepcfr_rl_no_distill,50,3,5000,0.005716846774899902,0.00021107041971244063,0.0001218615636389449,0.000238848664732332,0.00547799811016757,0.005955695439632235,0.0063587215550281,1210.5028025939891,42.02070662848568,24.260666283494498,47.55090591564922,1162.9518966783398,1258.0537085096385,0.0,"5,5,5",17,38,main_path
large,ppo,50,3,5000,0.005861432457625511,0.0008097884192671956,0.00046753156185055694,0.0009163618612270916,0.0049450705963984196,0.0067777943188526025,0.006548466025424758,1151.6631632635708,62.213069536218896,35.91873244384889,70.40071558994381,1081.262447673627,1222.0638788535146,0.0,"5,5,5",17,38,main_path
